virus	type	shape
Streptococcus phage TP-J34	DNA	linear
Mycoplasma phage MAV1	DNA	linear
Methanobacterium phage psiM2	DNA	linear
Salmonella phage FelixO1	DNA	linear
Streptococcus virus Sfi11	DNA	linear
Lactococcus phage P008	DNA	linear
Streptococcus virus O1205	DNA	linear
Streptococcus phage DT1	DNA	linear
Enterobacteria phage VT2-Sakai	DNA	linear
Enterobacteria phage ES18	DNA	linear
Enterobacteria phage phiP27	DNA	linear
Staphylococcus virus phiETA	DNA	circular
Yersinia phage phiYeO3-12	DNA	linear
Streptococcus phage 7201	DNA	linear
Lactococcus phage ul36	DNA	linear
Natrialba phage PhiCh1	DNA	circular
Natrialba phage PhiCh1	DNA	circular
Streptococcus phage MM1	DNA	linear
Staphylococcus prophage phiPV83	DNA	linear
Staphylococcus virus phiSLT	DNA	linear
Leptospira phage LE1	DNA	linear
Lactobacillus prophage Lj965	DNA	linear
Lactobacillus prophage Lj771	DNA	linear
Lactobacillus prophage Lj928	DNA	linear
Lactobacillus phage Lc-Nu	DNA	linear
Mycobacterium phage Bxb1	DNA	linear
Lactococcus phage bIL311	DNA	linear
Lactococcus phage bIL285	DNA	linear
Lactococcus phage bIL286	DNA	linear
Lactococcus phage bIL309	DNA	linear
Lactococcus phage bIL310	DNA	linear
Lactococcus phage bIL312	DNA	linear
Pseudomonas phage B3	DNA	linear
Enterobacteria phage HK620	DNA	circular
Haemophilus phage HP2	DNA	linear
Sulfolobus islandicus rod-shaped virus 1	DNA	linear
Streptococcus phage SM1	DNA	linear
Pseudomonas phage phiKZ	DNA	linear
Halobacterium phage phiH	DNA	circular
Listeria phage PSA	DNA	linear
Yersinia phage PY54	DNA	linear
Salmonella phage ST64T	DNA	linear
Temperate phage phiNIH1.1	DNA	linear
Methanothermobacter phage psiM100	DNA	linear
Salmonella phage ST64B	DNA	circular
Sinorhizobium phage PBC5	DNA	linear
Burkholderia phage phiE125	DNA	linear
Staphylococcus phage phi 12	DNA	linear
Staphylococcus virus 13	DNA	linear
Escherichia virus K1-5	DNA	linear
Pseudomonas phage PaP3	DNA	circular
Clostridium phage phi3626	DNA	linear
Bordetella phage BPP-1	DNA	linear
Escherichia Stx1 converting phage	DNA	circular
Escherichia phage Stx2 II	DNA	circular
Salmonella phage SP6	DNA	linear
Enterobacteria phage BP-4795	DNA	linear
Pseudomonas phage gh-1	DNA	linear
Staphylococcus virus 44AHJD	DNA	linear
Staphylococcus phage P68	DNA	linear
Pseudomonas phage phiKMV	DNA	linear
Mycobacterium phage Che8	DNA	linear
Mycobacterium phage Cjw1	DNA	linear
Mycobacterium phage Che9c	DNA	linear
Mycobacterium phage Che9d	DNA	linear
Mycobacterium phage Omega	DNA	linear
Vibrio phage VHML	DNA	linear
Bacillus phage phiNIT1	DNA	linear
Lactococcus phage 712	DNA	linear
Lactococcus lactis phage P475	DNA	linear
Lactococcus virus jj50	DNA	linear
Lactococcus lactis phage p272	DNA	linear
Lactococcus phage fd13	DNA	linear
Salmonella phage epsilon15	DNA	linear
Staphylococcus virus 3a	DNA	linear
Enterobacteria phage ST104	DNA	linear
Staphylococcus phage K	DNA	linear
Haloferax virus HF1	DNA	linear
Streptomyces virus phiBT1	DNA	linear
Yersinia phage phiA1122	DNA	linear
Yersinia virus L413C	DNA	linear
Haemophilus phage Aaphi23	DNA	linear
Xanthomonas phage Xp10	DNA	linear
Lactobacillus phage phiJL-1	DNA	linear
Bacillus phage Bam35c	DNA	linear
Synechococcus phage S-PM2	DNA	circular
Burkholderia phage Bcep22	DNA	linear
Burkholderia phage Bcep1	DNA	linear
Sulfolobus spindle-shaped virus 1	DNA	circular
Sulfolobus spindle-shaped virus 2	DNA	circular
Escherichia phage Tls	DNA	linear
Sulfolobus virus Kamchatka 1	DNA	circular
Lactococcus virus P2	DNA	linear
Lactococcus phage Q33	DNA	linear
Enterobacteria phage 2851	DNA	circular
Klebsiella phage phiKO2	DNA	linear
Sulfolobus virus Ragged Hills	DNA	circular
Staphylococcus virus 77	DNA	linear
Mycobacterium phage Bethlehem	DNA	linear
Vibrio phage VP882	DNA	linear
Clostridium virus phiC2	DNA	linear
Prochlorococcus phage P-SSM2	DNA	linear
Prochlorococcus phage P-SSM4	DNA	linear
Pseudomonas phage EL	DNA	circular
Burkholderia phage BcepC6B	DNA	linear
Lactobacillus phage phiAT3	DNA	linear
Pseudomonas phage F116	DNA	linear
Mycoplasma phage phiMFV1	DNA	linear
Sulfolobus virus STSV1	DNA	circular
Staphylococcus phage G1	DNA	linear
Escherichia phage JS98	DNA	linear
Salmonella phage SS3e	DNA	linear
Bacillus phage BCASJ1c	DNA	linear
Streptococcus phage 2972	DNA	linear
Bacillus phage GIL16c	DNA	linear
Staphylococcus phage 812	DNA	linear
Acidianus rod-shaped virus 1	DNA	linear
Acidianus two-tailed virus	DNA	circular
Clostridium phage phi CD119	DNA	linear
Staphylococcus phage PT1028	DNA	linear
Staphylococcus phage 66	DNA	linear
Staphylococcus phage 69	DNA	linear
Staphylococcus phage 53	DNA	linear
Staphylococcus phage 2638A	DNA	linear
Staphylococcus phage 42E	DNA	linear
Staphylococcus virus 47	DNA	linear
Staphylococcus virus 37	DNA	linear
Staphylococcus virus EW	DNA	linear
Staphylococcus virus 96	DNA	linear
Staphylococcus phage ROSA	DNA	linear
Staphylococcus virus 71	DNA	linear
Staphylococcus virus 55	DNA	linear
Staphylococcus virus 29	DNA	linear
Staphylococcus phage 52A	DNA	linear
Staphylococcus phage 88	DNA	linear
Staphylococcus phage 92	DNA	linear
Staphylococcus phage X2	DNA	linear
Staphylococcus virus phiETA2	DNA	circular
Staphylococcus virus phiETA3	DNA	circular
Xanthomonas virus OP1	DNA	linear
Salmonella phage SE1 (in:P22virus)	DNA	linear
Listeria phage P100	DNA	linear
Listeria phage B025	DNA	linear
Listeria phage B054	DNA	linear
Listeria phage A006	DNA	linear
Xanthomonas phage OP2	DNA	linear
Burkholderia virus phi52237	DNA	linear
Burkholderia phage KS9	DNA	linear
Bacteriophage APSE-2	DNA	circular
Microcystis virus Ma-LMM01	DNA	circular
Pasteurella phage F108	DNA	linear
Escherichia phage phiV10	DNA	linear
Escherichia phage K1F	DNA	linear
Escherichia phage K1F	DNA	linear
Escherichia phage K1E	DNA	linear
Bacillus phage Fah	DNA	linear
Pseudomonas phage F10	DNA	linear
Pseudomonas phage PA7	DNA	linear
Bacillus phage Gamma	DNA	linear
Salmonella phage epsilon34	DNA	linear
Burkholderia phage Bcep176	DNA	linear
Lactococcus phage P335 sensu lato	DNA	linear
Escherichia virus Rtp	DNA	linear
Bacillus phage WBeta	DNA	linear
Staphylococcus virus 108PVL	DNA	linear
Lactobacillus phage KC5a	DNA	circular
Geobacillus phage GBSV1	DNA	linear
Yersinia phage Berlin	DNA	linear
Streptomyces phage mu1/6	DNA	linear
Streptococcus phage M102	DNA	linear
Sodalis phage phiSG1	DNA	circular
Mycobacterium phage 244	DNA	linear
Mycobacterium phage Che12	DNA	linear
Mycobacterium phage PMC	DNA	linear
Mycobacterium phage Pipefish	DNA	linear
Propionibacterium phage PA6	DNA	linear
Mannheimia virus PHL101	DNA	linear
Stx2-converting phage 86	DNA	circular
Staphylococcus virus phiMR11	DNA	linear
Prochlorococcus phage P-GSP1	DNA	linear
Prochlorococcus phage P-SSP3	DNA	linear
Synechococcus phage syn9	DNA	circular
Pseudomonas phage LKD16	DNA	linear
Staphylococcus phage phiNM3	DNA	linear
Lactococcus phage KSY1	DNA	linear
Pseudomonas phage DMS3	DNA	linear
Bacillus virus 1	DNA	circular
Clostridium phage phiSM101	DNA	circular
Pseudomonas phage MP22	DNA	linear
Escherichia phage V5	DNA	linear
Staphylococcus phage PH15	DNA	linear
Streptococcus phage P9	DNA	linear
Ralstonia virus RSA1	DNA	linear
Streptococcus phage SMP	DNA	linear
Enterobacteria phage cdtI	DNA	circular
Streptococcus phage phi3396	DNA	linear
Salmonella phage Vi II-E1	DNA	circular
Salmonella phage SETP3	DNA	linear
Salmonella phage SETP7	DNA	linear
Salmonella phage SETP13	DNA	linear
Staphylococcus phage phi2958PVL	DNA	linear
Burkholderia phage phiE202	DNA	linear
Burkholderia phage phiE255	DNA	linear
Escherichia phage HK106	DNA	linear
Escherichia phage HK542	DNA	linear
Escherichia phage HK544	DNA	linear
Lactobacillus phage phiPYB5	DNA	linear
Mycobacterium phage Tweety	DNA	linear
Synechococcus phage S-SM1	DNA	linear
Synechococcus phage S-SM2	DNA	linear
Prochlorococcus phage Syn1	DNA	linear
Prochlorococcus phage P-RSM4	DNA	linear
Cyanophage 9515-10a	DNA	circular
Cyanophage P-SSP2	DNA	circular
Prochlorococcus phage Syn33	DNA	linear
Staphylococcus phage tp310-1	DNA	linear
Staphylococcus phage tp310-2	DNA	linear
Staphylococcus phage tp310-3	DNA	linear
Synechococcus phage S-ShM2	DNA	linear
Synechococcus phage Syn19	DNA	linear
Synechococcus phage S-SSM5	DNA	linear
Synechococcus phage S-SSM7	DNA	linear
Prochlorococcus phage P-SSM7	DNA	linear
Cyanophage NATL2A-133	DNA	circular
Cyanophage NATL1A-7	DNA	circular
Prochlorococcus phage P-HM2	DNA	linear
Prochlorococcus phage P-HM1	DNA	linear
Microbacterium phage Min1	DNA	linear
Geobacillus virus E2	DNA	linear
Escherichia phage Phi1	DNA	linear
Escherichia phage phiEcoM-GJ1	DNA	linear
Sulfolobus spindle-shaped virus 4	DNA	circular
Azospirillum phage Cd	DNA	linear
Xanthomonas phage Xop411	DNA	linear
Staphylococcus phage SAP-2	DNA	linear
Pseudomonas phage PT5	DNA	linear
Escherichia phage DE3	DNA	linear
Haemophilus phage SuMu	DNA	linear
Pseudomonas virus LUZ24	DNA	linear
Pseudomonas phage LUZ19	DNA	linear
Staphylococcus virus phiMR25	DNA	linear
Escherichia phage Min27	DNA	linear
Vibrio phage Kappa	DNA	linear
Lactococcus phage bIBB29	DNA	linear
Pseudomonas phage PT2	DNA	linear
Lactobacillus phage Lrm1	DNA	linear
Halomonas phage phiHAP-1	DNA	linear
Pseudomonas phage PAJU2	DNA	linear
Propionibacterium phage PAD20	DNA	linear
Propionibacterium phage PAS50	DNA	linear
Pseudomonas phage MP29	DNA	linear
Pseudomonas phage MP38	DNA	linear
Staphylococcus phage A5W	DNA	linear
Salmonella phage phiSG-JL2	DNA	linear
Escherichia phage BA14	DNA	linear
Escherichia phage EcoDS1	DNA	linear
Escherichia phage 13a	DNA	linear
Klebsiella phage K11	DNA	linear
Yersinia phage Yepe2	DNA	linear
Cyanophage P-RSM1	DNA	linear
Prochlorococcus phage P-SSM3	DNA	linear
Synechococcus phage S-SSM4	DNA	linear
Synechococcus phage Syn30	DNA	linear
Streptococcus phage PH15	DNA	linear
Pseudomonas phage PB1	DNA	linear
Mycobacterium phage Predator	DNA	linear
Mycobacterium phage Myrna	DNA	linear
Pseudomonas phage LBL3	DNA	linear
Pseudomonas phage LMA2	DNA	linear
Iodobacter phage PhiPLPE	DNA	linear
Bacillus phage IEBH	DNA	circular
Synechococcus phage S-RSM4	DNA	circular
Burkholderia phage KS10	DNA	linear
Clostridium virus phiCD27	DNA	linear
Mycobacterium phage Brujita	DNA	linear
Mycobacterium phage Fruitloop	DNA	linear
Mycobacterium phage Pacc40	DNA	linear
Mycobacterium phage Ramsey	DNA	linear
Stx2-converting phage 1717	DNA	linear
Enterobacteria phage YYZ-2008	DNA	linear
Bacillus phage TP21-L	DNA	linear
Vibrio phage martha 12B12	DNA	linear
Stenotrophomonas phage S1	DNA	linear
Staphylococcus phage phiSauS-IPLA35	DNA	linear
Escherichia phage JSE	DNA	linear
Escherichia phage JS10	DNA	linear
Escherichia phage wV8	DNA	linear
Lactobacillus phage Lv-1	DNA	linear
Pseudomonas phage 14-1	DNA	linear
Pseudomonas phage SN	DNA	linear
Bacillus phage Bcp1	DNA	linear
Salmonella phage g341c	DNA	linear
Mycobacterium phage Phlyer	DNA	circular
Pseudomonas phage phikF77	DNA	linear
Vibrio phage VP585	DNA	linear
Streptococcus phage PH10	DNA	linear
Shigella phage SP18	DNA	linear
Streptococcus phage 5093	DNA	linear
Staphylococcus phage phiPVL-CN125	DNA	linear
Bacillus phage Wip1	DNA	linear
Enterococcus phage phiEf11	DNA	linear
Mycobacterium phage Pumpkin	DNA	linear
Escherichia phage D108	DNA	linear
Lactococcus phage CB13	DNA	linear
Lactococcus phage CB14	DNA	linear
Lactococcus phage CB19	DNA	linear
Lactococcus phage CB20	DNA	linear
Staphylococcus phage P954	DNA	linear
Escherichia phage 285P	DNA	linear
Escherichia phage vB_EcoM_ECO1230-10	DNA	circular
Xylella phage Xfas53	DNA	circular
Sodalis phage SO1	DNA	circular
Enterococcus phage phiFL1A	DNA	linear
Enterococcus phage phiFL2A	DNA	linear
Enterococcus phage phiFL3A	DNA	linear
Enterococcus phage phiFL4A	DNA	linear
Klebsiella phage KP34	DNA	linear
Klebsiella phage KP32	DNA	linear
Aggregatibacter phage S1249	DNA	linear
Cyanophage S-RIM50	DNA	linear
Rhodococcus phage ReqiPoco6	DNA	linear
Rhodococcus phage ReqiPepy6	DNA	linear
Sulfolobus spindle-shaped virus 6	DNA	circular
Sulfolobus spindle-shaped virus 7	DNA	circular
Escherichia phage IME08	DNA	linear
Escherichia phage K1G	DNA	circular
Escherichia phage K1H	DNA	circular
Escherichia phage K1ind1	DNA	circular
Escherichia phage K1ind2	DNA	circular
Escherichia phage vB_EcoM_VR7	DNA	linear
Mycobacterium phage SkiPole	DNA	linear
Enterobacter phage CC31	DNA	linear
Salmonella phage ST160	DNA	linear
Campylobacter virus CP220	DNA	circular
Campylobacter virus CPt10	DNA	circular
uncultured phage MedDCM-OCT-S04-C24	DNA	linear
uncultured phage MedDCM-OCT-S05-C849	DNA	linear
uncultured phage MedDCM-OCT-S08-C41	DNA	linear
Streptomyces phage phiSASD1	DNA	linear
Deep-sea thermophilic phage D6E	DNA	circular
Pseudomonas phage JG024	DNA	linear
Synechococcus phage S-CAM1	DNA	linear
Synechococcus phage S-CAM8	DNA	linear
Synechococcus phage S-IOM18	DNA	linear
Synechococcus phage S-RIP2	DNA	linear
Synechococcus phage S-RIP1	DNA	linear
Synechococcus phage S-SKS1	DNA	linear
Sulfitobacter phage pCB2047-C	DNA	circular
Sulfitobacter phage pCB2047-A	DNA	circular
Psychrobacter phage pOW20-A	DNA	linear
Paenibacillus phage PG1	DNA	linear
Rhodobacter phage RC1	DNA	linear
Rhodovulum phage RS1	DNA	linear
Synechococcus phage S-CBP4	DNA	circular
Synechococcus phage S-CBP4	DNA	linear
Salicola phage CGphi29	DNA	linear
Lactobacillus phage LBR48	DNA	linear
Synechococcus phage S-CBP3	DNA	circular
Synechococcus phage S-CBP3	DNA	linear
Synechococcus phage S-RIM8	DNA	linear
Staphylococcus phage G15	DNA	linear
Acinetobacter phage Acj61	DNA	linear
Acinetobacter phage Ac42	DNA	linear
Pseudomonas phage KPP12	DNA	circular
Brochothrix phage NF5	DNA	linear
Brochothrix phage BL3	DNA	linear
Bacillus phage W.Ph.	DNA	linear
Brochothrix phage A9	DNA	linear
Clostridium phage phiCD6356	DNA	linear
Escherichia phage vB_EcoP_24B	DNA	linear
Salmonella phage Vi06	DNA	circular
Synechococcus phage S-RIM2 R1_1999	DNA	linear
Synechococcus phage S-RIM8 A.HR1	DNA	linear
Staphylococcus phage phi5967PVL	DNA	linear
Staphylococcus phage phi7247PVL	DNA	linear
Enterobacteria phage UAB_Phi20	DNA	linear
Lactococcus phage 949	DNA	linear
Prochlorococcus phage P-SSP10	DNA	linear
Salmonella phage PVPSE1	DNA	linear
Acinetobacter phage AB1	DNA	circular
Cyanophage KBS-P-1A	DNA	linear
Prochlorococcus phage MED4-213	DNA	linear
Escherichia phage HK75	DNA	linear
Escherichia phage HK639	DNA	linear
Burkholderia phage KS5	DNA	linear
Burkholderia phage KL3	DNA	linear
Burkholderia phage KS14	DNA	circular
Leuconostoc phage phiMH1	DNA	linear
Erwinia phage phiEt88	DNA	linear
Mycobacterium virus Wonder	DNA	linear
Yersinia phage Yep-phi	DNA	linear
Salmonella phage RE2010	DNA	linear
Cyanophage P-RSM6	DNA	linear
Rhizobium phage RR1-A	DNA	linear
Rhizobium phage RR1-B	DNA	linear
Enterobacteria phage VT2phi_272	DNA	linear
Riemerella phage RAP44	DNA	linear
Bacillus phage SP-10	DNA	linear
Liberibacter phage SC1	DNA	circular
Liberibacter phage SC2	DNA	circular
Staphylococcus phage TEM126	DNA	linear
Cronobacter phage ESSI-2	DNA	linear
Erwinia phage ENT90	DNA	circular
Lactobacillus phage LF1	DNA	linear
Lactobacillus phage Sha1	DNA	linear
Puniceispirillum phage HMO-2011	DNA	circular
Enterococcus phage EF62phi	DNA	linear
Vibrio phage ICP2	DNA	linear
Escherichia phage UAB_Phi78	DNA	linear
Cronobacter phage ENT39118	DNA	circular
Cronobacter phage ENT47670	DNA	circular
Planktothrix phage PaV-LD	DNA	linear
Lausannevirus	DNA	circular
Shigella phage Shfl2	DNA	circular
Salmonella virus iEPS5	DNA	linear
Campylobacter phage vB_CcoM-IBB_35	DNA	linear
Campylobacter phage vB_CcoM-IBB_35	DNA	linear
Campylobacter phage vB_CcoM-IBB_35	DNA	linear
Campylobacter phage vB_CcoM-IBB_35	DNA	linear
Campylobacter phage vB_CcoM-IBB_35	DNA	linear
Staphylococcus phage Sb1	DNA	linear
Staphylococcus phage S24-1	DNA	linear
Synechococcus phage S-CRM01	DNA	circular
Staphylococcus phage ISP	DNA	linear
Erwinia phage phiEaH2	DNA	circular
Clostridium phage phiCD38-2	DNA	linear
Mycobacterium phage BPBiebs31	DNA	linear
Mycobacterium phage HelDan	DNA	linear
Mycobacterium phage Optimus	DNA	linear
Mycobacterium phage Timshel	DNA	linear
Mycobacterium phage Baka	DNA	linear
Mycobacterium phage Bask21	DNA	linear
Mycobacterium phage DLane	DNA	linear
Mycobacterium phage Hammer	DNA	linear
Mycobacterium phage Ibhubesi	DNA	linear
Mycobacterium phage JC27	DNA	linear
Mycobacterium phage KSSJEB	DNA	linear
Mycobacterium phage Lesedi	DNA	linear
Mycobacterium phage LittleE	DNA	linear
Mycobacterium phage Mozy	DNA	linear
Mycobacterium phage Museum	DNA	linear
Mycobacterium phage Rey	DNA	linear
Mycobacterium phage SirDuracell	DNA	linear
Mycobacterium phage Switzer	DNA	linear
Mycobacterium phage Backyardigan	DNA	linear
Mycobacterium phage George	DNA	linear
Mycobacterium phage Gladiator	DNA	linear
Mycobacterium phage JHC117	DNA	linear
Mycobacterium phage JoeDirt	DNA	linear
Mycobacterium phage Microwolf	DNA	linear
Mycobacterium phage PackMan	DNA	linear
Mycobacterium phage Rockstar	DNA	linear
Mycobacterium phage RockyHorror	DNA	linear
Mycobacterium phage Yoshi	DNA	linear
Mycobacterium phage Toto	DNA	linear
Mycobacterium virus Mrgordo	DNA	linear
Mycobacterium phage Mutaforma13	DNA	linear
Mycobacterium phage Shauna1	DNA	linear
Mycobacterium phage ShiLan	DNA	linear
Mycobacterium phage EricB	DNA	linear
Escherichia phage K30	DNA	linear
Staphylococcus phage S25-3	DNA	circular
Staphylococcus phage S25-4	DNA	circular
Mycobacterium phage Benedict	DNA	linear
Cyanophage S-TIM4	DNA	linear
Escherichia phage phiEB49	DNA	linear
Streptococcus phage YMC-2011	DNA	circular
Erwinia phage vB_Eam-MM7	DNA	linear
Escherichia phage Bp7	DNA	linear
Mycobacterium phage Thibault	DNA	linear
Escherichia phage vB_EcoP_G7C	DNA	linear
Escherichia phage wV7	DNA	linear
Escherichia phage ime09	DNA	linear
Mycobacterium phage Charlie	DNA	linear
Mycobacterium phage Wile	DNA	linear
Helicobacter phage phiHP33	DNA	linear
Mycobacterium phage Lilac	DNA	linear
Psychrobacter phage Psymv2	DNA	linear
Mycobacterium phage Cuco	DNA	linear
Mycobacterium phage Trixie	DNA	linear
Mycobacterium phage Turbido	DNA	linear
Mycobacterium phage RidgeCB	DNA	linear
Mycobacterium virus Eureka	DNA	linear
Mycobacterium phage BigNuz	DNA	linear
Enterobacteria phage T7M	DNA	linear
Mycobacterium phage AnnaL29	DNA	circular
Mycobacterium phage Jebeks	DNA	circular
Mycobacterium phage Redi	DNA	linear
Synechococcus phage ACG-2014c	DNA	linear
Synechococcus phage metaG-MbCM1	DNA	linear
Bacillus phage G	DNA	linear
Mycobacterium phage Dreamboat	DNA	linear
Mycobacterium phage Violet	DNA	linear
Salmonella phage vB_SenM-S16	DNA	linear
Mycobacterium phage Bongo	DNA	linear
Mycobacterium phage Akoma	DNA	linear
Mycobacterium phage Athena	DNA	linear
Mycobacterium phage Babsiella	DNA	linear
Mycobacterium phage Blue7	DNA	linear
Mycobacterium phage Bruns	DNA	linear
Mycobacterium phage Dori	DNA	linear
Mycobacterium phage Gadjet	DNA	linear
Mycobacterium phage Jeffabunny	DNA	linear
Mycobacterium phage LHTSCC	DNA	linear
Enterobacteria phage IME10	DNA	linear
Salmonella phage SPN3US	DNA	linear
Pseudomonas virus LPB1	DNA	linear
Pseudomonas phage F_HA0480sp/Pa1651	DNA	linear
Megavirus chiliensis	DNA	linear
Mycobacterium phage DotProduct	DNA	linear
Mycobacterium phage Saintus	DNA	linear
Bacteroides phage B124-14	DNA	circular
Rhodobacter phage RcapMu	DNA	circular
Rhodococcus phage REQ2	DNA	linear
Salmonella phage 9NA	DNA	linear
Salmonella phage SE2	DNA	linear
Thermococcus prieurii virus 1	DNA	circular
Pectobacterium phage phiTE	DNA	linear
Staphylococcus phage SpaA1	DNA	linear
Bacillus phage BceA1	DNA	linear
Sulfolobus virus STSV2	DNA	linear
Bacillus phage phIS3501	DNA	linear
Escherichia phage TL-2011b	DNA	linear
Escherichia phage TL-2011c	DNA	linear
Pseudomonas phage OBP	DNA	circular
Salmonella phage SPN1S	DNA	circular
Thermoanaerobacterium phage THSA-485A	DNA	circular
Bacillus phage B5S	DNA	circular
Bacillus phage BCU4	DNA	circular
Salmonella phage SPN9CC	DNA	linear
Aeromonas phage vB_AsaM-56	DNA	linear
Pectobacterium phage ZF40	DNA	linear
Pseudomonas phage phi297	DNA	circular
Pseudomonas virus PMG1	DNA	linear
Klebsiella phage KP36	DNA	linear
Bacillus phage BCP8-2	DNA	linear
Erwinia phage PEp14	DNA	linear
Rhodobacter phage RcapNL	DNA	linear
Escherichia phage FV3	DNA	linear
Brucella phage Tb	DNA	circular
Brucella phage Pr	DNA	circular
Bacillus phage BCD7	DNA	circular
Bacillus phage BPS13	DNA	circular
Cyanophage S-TIM5	DNA	linear
Bacillus phage B4	DNA	linear
Salmonella phage SPN19	DNA	circular
Cronobacter phage vB_CsaM_GAP31	DNA	linear
Cronobacter phage vB_CsaM_GAP32	DNA	linear
Escherichia phage vB_EcoP_ACG-C91	DNA	linear
Escherichia phage vB_EcoS_ACG-M12	DNA	linear
Escherichia phage vB_EcoM_ACG-C40	DNA	linear
Pseudomonas phage vB_Pae-TbilisiM32	DNA	linear
Staphylococcus phage StB12	DNA	linear
Staphylococcus phage StB20	DNA	linear
Staphylococcus phage StB27	DNA	linear
Klebsiella phage vB_KleM_RaK2	DNA	linear
Enterobacter phage phiKDA1	DNA	linear
Salmonella phage SPN3UB	DNA	circular
Mycobacterium phage Spartacus	DNA	linear
Enterobacteria phage HK140	DNA	linear
Enterobacteria phage HK225	DNA	linear
Escherichia phage HK446	DNA	linear
Escherichia phage HK630	DNA	linear
Escherichia phage HK633	DNA	linear
Escherichia phage HK629	DNA	linear
Enterobacteria phage mEp043 c-1	DNA	linear
Enterobacteria phage mEp235	DNA	linear
Enterobacteria phage mEp237	DNA	linear
Enterobacteria phage mEp460	DNA	linear
Escherichia phage mEpX1	DNA	linear
Escherichia phage mEpX2	DNA	linear
Enterobacteria phage vB_EcoS_Rogue1	DNA	linear
Enterobacteria phage mEp213	DNA	linear
Escherichia phage mEp234	DNA	linear
Enterobacterial phage mEp390	DNA	linear
Escherichia phage JLK-2012	DNA	linear
Escherichia phage P13374	DNA	linear
Enterobacter phage Enc34	DNA	linear
Helicobacter phage 1961P	DNA	linear
Pseudomonas phage NH-4	DNA	linear
Pseudomonas phage MP42	DNA	linear
Vibrio phage SSP002	DNA	linear
Leuconostoc phage Lmd1	DNA	linear
Mycobacterium phage Twister	DNA	linear
Mycobacterium phage Tiger	DNA	linear
Salmonella phage Ent1	DNA	linear
Lactococcus phage ASCC273	DNA	linear
Lactococcus phage ASCC281	DNA	linear
Lactococcus phage ASCC465	DNA	linear
Lactococcus phage ASCC532	DNA	linear
Staphylococcus phage phi7401PVL	DNA	linear
Cronobacter phage phiES15	DNA	circular
Salmonella phage vB_SemP_Emek	DNA	linear
Salmonella phage vB_SosS_Oslo	DNA	linear
Stenotrophomonas phage Smp131	DNA	circular
Mycobacterium phage Avani	DNA	linear
Mycobacterium phage Aeneas	DNA	linear
Staphylococcus phage SMSAP5	DNA	linear
Staphylococcus phage TEM123	DNA	linear
Listeria phage vB_LmoM_AG20	DNA	linear
Salmonella virus SP126	DNA	linear
Listeria phage LP-030-2	DNA	linear
Salmonella phage FSL SP-031	DNA	linear
Salmonella phage FSL SP-101	DNA	linear
Salmonella phage FSLSP004	DNA	linear
Mycobacterium phage SWU1	DNA	linear
Mycobacterium phage ICleared	DNA	linear
Yersinia phage YpP-Y	DNA	linear
Yersinia phage YpsP-G	DNA	linear
Salmonella phage SSU5	DNA	linear
Acinetobacter phage AP22	DNA	circular
Clostridium phage PhiS63	DNA	linear
Klebsiella phage NTUH-K2044-K1-1	DNA	linear
Bacillus phage BtCS33	DNA	linear
Mycobacterium virus Nepal	DNA	circular
Staphylococcus phage StauST398-1	DNA	linear
Staphylococcus phage StauST398-3	DNA	linear
Bacillus phage vB_BceM_Bc431v3	DNA	linear
Mycobacterium phage Astro	DNA	linear
Staphylococcus phage Staph1N	DNA	linear
Staphylococcus phage A3R	DNA	linear
Staphylococcus phage Fi200W	DNA	linear
Staphylococcus phage MSA6	DNA	linear
Staphylococcus phage P4W	DNA	linear
Staphylococcus phage 676Z	DNA	linear
Staphylococcus phage SA13	DNA	circular
Enterobacteriaphage UAB_Phi87	DNA	linear
Aeromonas phage Aes012	DNA	linear
Staphylococcus phage Stau2	DNA	linear
Helicobacter phage KHP40	DNA	circular
Escherichia phage ECML-134	DNA	linear
Streptomyces phage phiHau3	DNA	linear
Streptomyces phage SV1	DNA	linear
Salmonella phage SSE121	DNA	linear
Salmonella phage STML-198	DNA	linear
Bacillus phage phiAGATE	DNA	linear
Clostridium phage phiMMP02	DNA	circular
Clostridium phage phiMMP04	DNA	circular
Salmonella phage wksl3	DNA	circular
Lactobacillus phage phiAQ113	DNA	circular
Yersinia phage phiR2-01	DNA	linear
Yersinia phage phiR1-RT	DNA	linear
Yersinia phage phiD1	DNA	linear
Helicobacter phage KHP30	DNA	circular
Streptomyces phage phiELB20	DNA	linear
Salmonella phage vB_SenS_AG11	DNA	linear
Mycobacterium phage Arturo	DNA	linear
Mycobacterium phage Goose	DNA	linear
Mycobacterium phage Marcell	DNA	linear
Staphylococcus phage SP5	DNA	linear
uncultured crAssphage	DNA	circular
Rhizobium phage RHEph01	DNA	linear
Rhizobium phage RHEph10	DNA	linear
Acinetobacter phage YMC/09/02/B1251	DNA	linear
Enterobacteria phage GEC-3S	DNA	linear
Enterobacteria phage SfI	DNA	linear
Pseudomonas phage MPK7	DNA	linear
Pseudomonas phage JD18	DNA	linear
Pseudomonas phage JBD25	DNA	linear
Pseudomonas phage JBD67	DNA	linear
Lactobacillus phage ATCC 8014-B2	DNA	linear
Mycobacterium phage Dorothy	DNA	linear
Mycobacterium phage Rebeuca	DNA	linear
Stx2-converting phage Stx2a_F451	DNA	linear
Stx2-converting phage Stx2a_WGPS9	DNA	linear
Stx2-converting phage Stx2a_WGPS2	DNA	linear
